,SmoothL1Loss,MAE,RMSE,RegLoss,SmoothL1Loss_val,MAE_val,RMSE_val
20,0.011060149136649489,3420.4062302630227,4417.4888227267975,0.0,0.016037105398853384,4138.263469236333,5150.118421814431
21,0.010852951924828536,3383.3102558863766,4377.488313034892,0.0,0.020010832538251686,4447.662998285143,5619.297443529503
22,0.010815532805554655,3387.858002635026,4373.023418924526,0.0,0.06145022533432188,8662.081761918716,10150.921059435035
23,0.01097258227472867,3400.9337792433003,4390.843676306712,0.0,0.02421738094691726,5215.697291344523,6350.914295367457
24,0.010873278472776938,3389.260862338761,4379.893722558958,0.0,0.01538453854863826,4110.732849921349,5126.015217718547
25,0.010577223934143265,3342.561331860239,4323.019641224181,0.0,0.0162321465810787,4256.177037526231,5246.733135452592
26,0.010563857396960337,3341.448773800095,4319.985030747682,0.0,0.012980085359872485,3757.0200772331673,4709.628026163547
27,0.01036619583028292,3301.6908365542536,4281.285390003532,0.0,0.024349368665685486,5328.651577174603,6506.614687417608
28,0.010292691121354865,3286.283142272534,4256.443072993815,0.0,0.029927300714850832,5581.705281014182,6957.653984232485
29,0.010397780965674413,3283.576784882804,4254.559088108782,0.0,0.017474322474733964,4254.829550011891,5278.984410099912
30,0.009865774974236761,3204.818423180512,4167.50275527348,0.0,0.01767977942794259,4314.979398995981,5426.30059765046
31,0.009885691484072203,3211.1840255697794,4178.691837420452,0.0,0.020582796734796054,4600.229035999984,5783.351265556415
32,0.009745990867545226,3180.692424052282,4143.782795118173,0.0,0.016450101952150797,4231.728712529661,5267.79756096529
33,0.009380397647414876,3122.761570026196,4070.953665863901,0.0,0.01167184717442682,3421.479934735875,4339.056568421057
34,0.009241878085238141,3099.2893556251884,4043.3606089061127,0.0,0.013605524149839407,3708.8512614368374,4691.9189134414455
35,0.00913032461781793,3079.4147203006705,4017.596865210802,0.0,0.014023415255230232,3800.7744379449146,4812.0547583678635
36,0.009069801928654938,3060.040667857743,4003.447836865845,0.0,0.012390815467459982,3479.347010450588,4446.955539294978
37,0.008846002450339138,3020.3406115977136,3956.614171115523,0.0,0.011114525471000303,3436.034889535205,4315.849906485595
